GenerationNum,AverageFitness,HighestFitness
1,-1161.327,454.9612
2,-1748.172,453.3089
3,-1428.391,453.3497
4,-1441.874,455.1685
5,-1747.877,454.6327
6,-1678.598,447.7582
7,-1466.876,453.3873
8,-1862.496,454.3329
9,-1573.422,455.4366
10,-1096.514,454.7665
11,-1397.4,454.598
12,-1762.954,452.161
13,-1187.403,454.0645
14,-1277.442,454.5626
15,-1168.379,455.2336
16,-1769.338,454.5485
17,-920.7804,454.4044
18,-1741.716,454.6951
19,-2103.207,455.0071
20,-1242.229,453.5252
21,22.49649,455.4044
22,279.5346,455.4185
23,244.9337,455.6042
24,324.0684,455.6649
25,405.9883,454.804
26,349.5166,454.7994
27,454.6518,454.7987
28,312.5985,454.7952
