GenerationNum,AverageFitness,HighestFitness
1,-748.8657,934.1189
2,-619.848,859.986
3,-613.126,866.6758
4,-967.0565,453.1346
5,40.16626,1311.246
6,-1114.512,1169.151
7,-928.4778,750.3615
8,-219.9403,955.9435
9,-987.1346,1168.109
10,-439.0448,897.3994
11,-451.8217,1263.753
12,-1207.799,856.7057
13,-931.5853,930.0878
14,-901.6344,963.9085
15,-749.8379,1232.865
16,-440.745,969.7556
17,-1124.91,865.9895
18,-1210.041,1152.288
19,-1090.62,937.0949
20,-1464.698,842.9032
21,0.4414543,1228.336
22,236.436,1137.182
23,247.3487,1248.606
24,68.66682,1146.062
25,955.4465,1390.572
26,324.2089,1164.051
27,509.8249,1228.239
28,57.75994,1264.383
29,435.676,1304.242
30,326.25,1186.388
31,108.4169,1304.616
32,254.2935,1178.716
33,487.1674,1236.444
34,841.1973,1348.434
35,144.3732,1287.233
36,732.4327,1349.264
37,262.3018,1329.974
38,432.9702,1306.258
39,706.7072,1294.722
40,-139.0187,1251.315
41,395.7215,1301.349
42,584.0938,1300.501
43,49.67864,1297.473
44,445.1479,1296.637
45,107.8967,1153.561
46,-272.0159,1318.745
47,-246.1054,1365.425
48,-586.8212,1195.551
49,-291.3976,1197.818
50,-110.7633,1200.052
51,128.7521,1192.292
52,-329.5186,1226.098
53,535.3601,1247.424
54,202.4629,1302.992
55,659.8137,1272.859
56,638.434,1341.323
57,571.788,1301.649
58,203.3865,1260.794
59,771.2853,1233.837
60,387.2632,1290.613
61,534.0264,1281.443
62,129.4195,1206.297
63,623.404,1176.695
64,319.7324,1207.828
65,241.5767,1252.113
66,211.914,1397.419
67,277.1993,1181.853
68,344.0629,1130.549
69,237.7557,1161.186
70,126.3719,1241.162
71,926.9743,1248.538
72,302.5033,1247.967
73,205.647,1156.786
74,758.3546,1278.412
75,738.3566,1322.829
76,565.9058,974.3036
77,192.7296,1248.481
78,769.5769,1291.604
79,291.8936,1196.706
80,686.3739,1330.449
81,738.2497,1228.267
82,462.3914,1154.199
83,612.8744,1244.356
84,701.1038,1186.554
85,616.9852,1119.584
86,-476.5084,983.744
87,414.5045,1187.002
88,395.245,1210.699
89,498.6608,1142.483
90,270.6586,1257.802
91,545.0939,1284.285
92,241.5367,1219.359
93,78.10166,1426.97
94,281.3604,1243.432
95,9.453052,1223.274
96,-807.6971,1127.496
97,-459.3761,1202.778
98,-148.2879,1233.824
99,99.84089,1361.546
100,801.9716,1230.645
101,-313.832,1281.64
102,-1.37832,1188.409
103,-330.8958,1318.313
104,-45.15281,1316.57
105,-774.8972,1196.769
106,-140.2235,1305.324
107,-214.3716,1297.847
108,-666.0244,1382.905
109,88.42413,1346.644
110,214.0815,1383.791
111,35.56969,1295.301
112,-97.87573,1265.009
113,337.4792,1321.66
114,443.5266,1324.078
115,471.4643,1292.808
116,371.6022,1224.323
117,493.1292,1209.394
118,697.699,1404.313
119,573.8247,1260.479
120,319.3904,1432.243
121,896.7191,1389.713
122,586.1575,1525.844
123,84.29987,1224.782
124,874.5455,1430.51
125,827.4261,1493.932
126,1058.298,1596.877
127,850.8001,1512.444
128,868.8695,1202.525
129,427.3652,1225.296
130,551.2018,1284.014
131,1124.04,1432.425
132,459.1361,1268.233
133,130.8517,1321.638
134,-25.17381,1358.789
135,931.0016,1431.167
136,954.1202,1541.518
137,1036.364,1259.661
138,817.579,1338.813
139,773.1174,1320.706
140,844.8746,1298.512
141,902.041,1279.173
142,53.87865,1368.429
143,592.7038,1294.24
144,712.7632,1252.451
145,736.6683,1224.879
146,791.8001,1299.538
147,397.9811,1147.143
148,-174.6621,1186.712
149,819.8758,1296.135
150,724.2406,1294.035
151,741.4211,1323.318
152,960.1224,1444.109
153,1044.715,1425.622
154,860.7943,1417.963
155,452.5257,1292.742
156,911.7411,1315.99
157,324.0834,1385.194
158,991.8414,1369.351
159,700.4703,1413.406
160,982.6725,1391.066
161,229.4077,1267.614
162,237.5795,1419.061
163,509.1804,1349.734
164,674.4247,1446.003
165,1006.063,1440.732
166,319.9099,1529.267
167,824.4604,1411.645
168,277.6257,1356.78
169,734.5736,1434.745
170,403.6966,1380.698
171,528.6768,1288.138
172,-76.49449,1297.475
173,693.8632,1446.522
174,498.006,1399.303
175,483.7407,1394.053
176,1138.089,2114.508
177,282.8873,1527.98
178,1081.025,2729.629
179,2114.972,23022.11
180,2063.696,23966.06
181,5831.863,25649.5
182,5325.653,25289.61
183,5524.594,25247.6
184,7471.69,26879.62
185,7687.478,27144.67
186,9381.038,27622.65
187,6230.683,27576.89
188,7625.599,27510.79
189,6792.581,27492.11
190,7075.879,27680.34
191,6243.767,27222.55
192,8467.07,27583.19
193,11276.55,28014.9
194,8090.747,27591.41
195,12806.94,29501.81
196,9517.149,32940.13
197,9574.878,33133.94
198,16401.86,33157.44
199,15094.67,32978.61
200,16998.94,32828.39
201,18235.19,34145.43
202,15080.63,34877.17
203,19858.52,34887.4
204,10475.65,35352.55
205,15730.7,36507.76
206,15379.93,41537.74
207,13838.54,41134.71
208,8559.997,40944.65
209,15849.52,42724.98
210,24447.86,42333.96
211,20752.2,44191.95
212,18737.34,43963.91
213,26929.75,47246.29
214,20182.41,47634.96
215,22141.53,49165.81
216,25133.68,49227.04
217,21006.45,49967.48
218,34872.71,51294.09
219,33000.05,50903.09
220,32771.86,50435.33
221,27129.66,51381.52
222,37685.27,52319.25
223,34668.32,52123.45
224,38412.24,52556.5
225,33903.36,52822.13
226,31765.94,52873.46
227,35197.36,52652.79
228,28961.62,53512.17
229,33019.89,52892.37
230,24755.27,53080.68
231,29641,53282.34
232,30157.81,56722.05
233,32477.04,53402.45
234,33104.52,53791.28
235,27918.09,53484.49
236,32731.74,53302.81
237,24521.03,53307.51
238,24676.87,56407.84
239,23036.59,53732.34
240,36322.98,55452.33
241,34621.04,56450.5
242,32302.05,57601.26
243,34632.95,58632.71
244,33985.76,57404.53
245,31652.32,57315.93
246,27819.55,57757.12
247,29348.59,58262.54
248,28047.89,58904.11
249,31036.14,63593.84
250,31430.29,61530.92
251,23431.13,61686.23
252,31993.31,64615.52
253,38913.98,67229.99
254,35542.55,67166.51
255,31538.29,66522.96
256,28026.79,67706.95
257,22646.71,68128.29
258,31631.84,68283.03
259,41065.71,68764.93
260,32159.26,68263.75
261,38570.28,68586.62
262,34886.83,68932.5
263,37943.88,68736.68
264,41051.64,67949.76
265,40802.7,68249.83
266,33186,68517.8
267,34366.76,67982.76
268,40477.9,68281.63
269,37353.6,68380.38
270,42132.29,68677.66
271,36613.27,68320.63
272,39637.29,68727.94
273,43438.38,68932.49
274,37143.16,69076.77
275,42308.4,68515.72
276,32530.84,68122.02
277,35467.37,68726.4
278,44101.38,68224.63
279,42327.75,70464.33
280,53766.76,72190.49
281,62487.64,80006.78
282,58026.64,82182.64
283,50863.55,81184.23
284,62036.65,86292.18
285,32143.54,84608.85
286,42728.55,86199.45
287,35569.59,86842.64
288,43448.72,86461.23
289,54421.48,88216.88
290,51116.62,87506.94
291,51013.44,89029.79
292,60360.16,88116.55
293,50075.5,89197.37
294,35891.5,89642.29
295,35279.36,88746.1
296,57614.95,91931.83
297,37094.23,90930.31
298,59776.39,92130.24
299,60500.46,93199.33
300,72193.85,101639.5
301,73876.86,103084.1
302,75549.99,110472.7
303,78652.86,111697.7
304,56001.8,113163.3
305,58105.17,113111.8
306,59761.69,111170.9
307,71539.97,114913.4
308,76949.59,115067.2
309,85515.66,114796.4
310,63288.99,115159.8
311,66746.02,116994.1
312,72034.52,116528.9
313,88143.84,115303.6
314,82182.64,116284.3
315,79501.41,116036.7
316,85320.17,116149.4
317,78820.07,117840.8
318,74188.2,118837.1
319,60045.57,118532.9
320,81481.16,121210.9
321,57763.52,121756.1
322,67508.21,123355.3
323,79788.91,124604.2
324,73062.17,124283.4
325,69675.88,123637.3
326,83397.92,124396.2
327,99968.17,123643.5
328,94868.98,124785.4
329,89986.48,123610.2
330,90195.54,124221.3
331,81745.2,134257.4
332,55954.48,133662.1
333,53031.75,137206.3
334,63088.35,137555.9
335,66291.63,138254.1
336,53258.49,137596.2
337,88463.9,138461.4
338,79321.3,139868.3
339,79478.48,141133.1
340,55938.1,141709
341,54659.6,142482.2
342,48802.85,142606.1
343,59109.94,142607.2
