GenerationNum,AverageFitness,HighestFitness
1,-630.4464,814.8305
2,-1283.997,669.1894
3,-1431.375,963.6532
4,-687.3304,1186.985
5,-1214.617,885.6688
6,-535.4595,633.4136
7,-926.6993,935.6086
8,-1215.573,464.812
9,-793.2108,1191.009
10,-762.9293,961.7249
11,-936.0229,869.308
12,-925.4523,991.4323
13,-645.245,897.5128
14,-1029.586,215.7055
15,-563.6635,1171.11
16,-434.8116,1161.617
17,-1058.476,1262.548
18,-51.92003,1260.839
19,-415.6107,958.4966
20,-725.7658,1283.121
21,-253.1293,1128.475
22,71.23093,963.844
23,-459.7554,937.1945
24,-247.585,956.1381
25,331.0733,1280.045
26,370.0774,1001.205
27,128.485,1122.496
28,-109.4844,1139.725
29,500.6885,1170.568
30,250.2426,1115.013
31,319.4438,976.5668
32,244.4658,1139.725
33,297.7393,1113.32
34,-91.00564,1148.888
35,337.2941,1263.749
36,256.2623,956.6002
37,791.7274,1265.699
38,652.5175,1243.953
39,686.1811,1275.515
40,693.4022,1281.704
41,317.2767,1245.584
42,584.0025,1251.922
43,613.7074,1252.001
44,375.8677,1197.012
45,521.8677,1308.202
46,267.7514,1255.006
47,566.8144,1134.47
48,578.3419,1247.79
49,239.6318,1160.647
50,443.4727,998.2132
51,-22.15014,1191.131
52,904.3926,1260.327
53,339.154,1214.173
54,66.62009,1217.521
55,711.6224,1302.394
56,423.7723,1309.581
57,252.0121,1275.777
58,270.168,1210.251
59,563.7469,1266.247
60,741.9569,1232.4
61,750.1174,1193.95
62,712.1188,1360.878
63,589.2196,1249.812
64,700.9297,1198.045
65,720.1241,1266.834
66,593.5258,1207.266
67,920.5148,1224.082
68,864.2184,1277.433
69,729.6923,1249.007
70,515.3748,1268.363
71,785.6871,1180.511
72,948.5563,1375.436
73,990.6484,1212.772
74,439.5173,1332.239
75,612.549,1189.209
76,806.1908,1295.109
77,687.9718,1191.92
78,574.1752,1309.244
79,976.0758,1260.933
80,352.1841,1156.833
81,959.3865,1230.97
82,621.002,1209.966
83,879.8149,1215.745
84,405.8906,1269.982
85,940.6421,1179.531
86,570.2083,1267.547
87,609.1007,1172.44
88,930.1208,1228.474
89,907.0825,1256.244
90,857.8638,1295.486
91,980.3295,1207.863
92,702.5462,1241.858
93,1048.961,1277.037
94,959.6799,1200.677
95,990.0667,1242.555
96,814.6991,1245.951
97,662.1152,1233.945
98,364.8547,1154.208
99,704.2125,1198.88
100,124.5247,1220.59
101,80.00053,1231.651
102,827.2257,1212.134
103,137.3474,1217.99
104,793.2045,1219.44
105,446.914,1230.555
106,803.7446,1292.99
107,427.2808,1240.453
108,634.3614,1176.882
109,240.8672,1302.041
110,741.3773,1209.234
111,810.8731,1197.474
112,862.3655,1247.762
113,721.7281,1233.729
114,628.3085,1230.828
115,642.7592,1199.101
116,213.1112,1273.486
117,956.5563,1241.064
118,972.1639,1345.426
119,336.4349,1395.12
120,603.6496,1218.826
121,804.6812,1345.91
122,633.1082,1355.129
123,785.9203,1238.886
124,150.0934,1262.932
125,610.2476,1255.222
126,399.2293,1197.934
127,916.5011,1244.576
128,707.6385,1244.657
129,498.0505,1299.703
130,556.8979,1290.616
131,424.6575,1302.321
132,332.1633,1298.398
133,605.423,1395.395
134,74.48107,1235.161
135,871.8599,1235.004
136,598.8506,1264.304
137,1016.789,1325.179
138,866.6031,1286.91
139,1090.253,1285.025
140,816.2443,1293.502
141,1067.287,1393.584
142,519.5224,1299.645
143,472.8472,1322.506
144,1005.493,1336.924
145,718.9345,1247.503
146,652.2127,1228.113
147,987.6672,1286.423
148,978.1616,1288.223
149,931.4639,1292.854
150,1146.342,1366.332
151,699.7177,1347.739
152,725.8343,1275.937
153,980.0878,1279.384
154,695.3586,1191.996
155,1056.491,1331.588
156,1166.784,1320.294
157,1014.281,1310.963
158,776.8932,1426.677
159,991.7323,1271.78
160,1024.487,1294.994
161,995.4324,1332.729
162,1083.364,1249.09
163,1008.793,1327.784
164,902.4401,1263.688
165,1080.847,1294.636
166,875.27,1323.057
167,989.8438,1272.883
168,1044.826,1423.354
169,1033.345,1293.703
170,663.2526,1341.495
171,1019.697,1315.84
172,739.0499,1333.019
173,868.2018,1359.362
174,890.5417,1288.577
175,777.2463,1415.441
176,705.131,1343.853
177,563.6691,1324.189
178,1070.668,1360.386
179,1017.868,1530.084
180,926.3296,1388.82
181,1035.403,1529.432
182,978.0974,1442.635
183,1123.503,1490.47
184,1078.461,1431.354
185,958.3338,1504.209
186,1126.471,1545.969
187,815.967,1530.749
188,1106.038,1420.282
189,855.0986,1444.828
190,1052.529,1472.718
191,1106.476,1390.639
192,984.2923,1489.68
193,1106.443,1533.161
194,463.4892,1492.99
195,872.8439,1551.802
196,959.483,1570.461
197,1161.723,1549.113
198,874.1664,1615.06
199,812.5553,1673.813
200,405.6027,1931.641
201,1236.991,2117.376
202,1049.954,1597.095
203,1019.228,1888.864
204,1365.911,2061.669
205,830.347,2230.941
206,780.8228,1598.136
207,394.6521,1857.486
208,780.3902,1936.984
209,393.9042,1691.194
210,521.9625,2111.899
211,1116.581,1588.134
212,1031.388,2355.299
213,1427.25,1745.758
214,1044.321,1905.181
215,741.9597,1794.718
216,630.572,1853.384
217,781.9956,1885.017
218,691.2449,2307.779
219,767.4005,3000.486
220,571.1908,2386.282
221,517.2963,1550.154
222,504.8026,1517.814
223,610.7748,2489.855
224,1104.875,1844.363
225,751.3478,1658.72
226,1278.432,1710.903
227,870.9564,2058.485
228,558.3678,1604.334
229,777.5707,1719.004
230,956.6697,1648.025
231,897.7855,1515.667
232,968.2849,1575.483
233,909.937,1553.55
234,773.149,1802.671
235,979.6487,2203.979
236,1206.978,1798.747
237,1367.721,2594.394
