GenerationNum,AverageFitness,HighestFitness
1,-636.0919,1105.367
2,-911.7515,962.1362
3,-1292.141,1073.295
4,-580.8059,853.3573
5,-1571.655,914.9787
6,-1008.138,1330.096
7,-898.285,1001.518
8,-755.7252,982.2725
9,-1578.32,1210.166
10,-424.0789,995.1133
11,-123.5625,925.6136
12,-539.8885,854.7324
13,-796.5802,798.4088
14,-767.1873,952.9261
15,-398.2142,904.2175
16,-772.326,953.5324
17,-642.6132,1114.664
18,-340.462,1112.506
19,-607.1888,856.079
20,-1290.971,903.1716
21,304.3323,1247.826
22,174.1057,1289.929
23,178.7924,1214.048
24,266.2841,1257.706
25,46.07767,1240.273
26,558.8307,1201.994
27,656.7824,1269.896
28,703.5641,1039.576
29,402.486,1269.222
30,680.2225,1250.11
31,789.4575,1224.593
32,654.9122,1279.785
33,756.5845,1255.853
34,-210.1558,1205.363
35,450.0006,1317.377
36,169.2984,1231.363
37,248.8057,1165.077
38,565.4724,1211.333
39,229.7809,1285.063
40,-35.01791,1501.459
41,760.8086,1209.976
42,836.4805,1317.228
43,66.11024,1261.691
44,35.68355,1247.437
45,-203.0278,1146.817
46,13.30498,1193.546
47,-339.6147,1167.521
48,-630.5411,1242.785
49,-13.86699,1201.884
50,-484.3755,1030.715
51,319.8062,1150.328
52,-382.8416,1190.358
53,-70.59761,1151.34
54,-235.7839,1150.204
55,30.15746,1218.992
56,198.8334,1280.41
57,79.44391,1238.286
58,-50.58358,1246.688
59,763.0658,1321.25
60,352.0408,1237.785
61,742.0885,1203.439
62,585.6385,1255.109
63,881.5553,1294.214
64,892.5688,1206.39
65,696.0892,1257.798
66,413.341,1212.477
67,652.1084,1270.92
68,523.2329,1322.735
69,336.1495,1281.132
70,553.8627,1302.875
71,747.5804,1243.6
72,318.0706,1258.722
73,524.3118,1192.72
74,490.0904,1210.423
75,856.7574,1379.218
76,823.3929,1339.668
77,880.3353,1301.047
78,755.1644,1285.428
79,702.9388,1205.037
80,634.554,1216.44
81,312.7653,1237.744
82,603.3301,1180.403
83,317.5156,1216.162
84,573.3564,1254.428
85,332.597,1218.468
86,583.5807,1197.553
87,891.2819,1238.174
88,586.0827,1217.575
89,561.1041,1151.956
90,218.7671,1193.343
91,682.3145,1245.544
92,690.7755,1257.105
93,648.6656,1318.534
94,419.3031,1256.004
95,746.1931,1228.703
96,784.5441,1260.676
97,814.3925,1300.204
98,491.9317,1259.152
99,828.9692,1306.83
100,318.1013,1230.118
101,992.5285,1325.225
102,658.653,1272.419
103,727.4773,1303.634
104,932.9556,1213.677
105,890.8356,1191.908
