GenerationNum,AverageFitness,HighestFitness
1,26.51839,471.4662
2,-12.3213,136.5785
3,-4.957726,547.8272
4,-33.81918,170.7939
5,-22.49226,303.7416
6,5.679153,736.0375
7,-118.2526,243.9936
8,22.98403,588.9626
9,-10.7462,184.6832
10,12.35912,220.4808
11,28.62963,250.7989
12,-40.41541,388.541
13,26.11811,245.3748
14,65.92995,728.467
15,142.8699,931.1262
16,-14.96813,283.9334
17,6.237442,221.9806
18,-6.656333,271.3941
19,-15.51422,294.5066
20,-48.16868,411.6907
21,90.73126,536.5764
22,6.196664,598.4454
23,134.0036,381.6809
24,80.31844,394.2629
25,95.52075,436.3773
26,133.084,395.1819
27,114.5515,507.0571
28,151.5357,970.5009
29,14.58056,441.7471
30,92.92987,365.4659
31,104.4242,374.5813
32,135.8563,435.3342
33,156.2964,440.536
34,209.5446,716.0256
35,198.5663,718.9519
36,155.5569,642.1345
37,269.8342,734.8069
38,345.7446,1229.038
39,226.6019,980.3183
40,180.9352,938.8721
41,293.1022,743.9578
42,282.7863,922.2079
43,354.0806,1250.754
44,204.0084,800.8752
45,349.9478,1188.491
46,320.0941,1218.626
47,262.6734,1152.813
48,275.7982,1001.584
49,468.4428,1212.297
50,308.9851,1210.592
51,562.2365,1361.726
52,412.5933,1287.156
53,229.5361,1125.184
54,308.9391,1165.696
55,454.6535,1133.19
56,537.0942,1255.004
57,585.306,1198.565
58,497.8788,1202.801
59,349.1123,1377.213
60,413.9481,1320.164
61,178.5948,1279.345
62,344.1229,1298.475
63,224.0328,978.2781
64,497.2908,1411.227
65,223.6691,1289.736
66,329.787,1367.226
67,401.9595,1384.019
68,211.0608,1324.453
69,235.4623,1181.547
70,217.1288,1126.901
71,242.1573,1330.653
72,188.3215,1126.817
73,200.4477,999.2303
74,206.2524,1280.128
75,399.3441,1294.284
76,275.8169,1227.706
77,253.023,1173.688
78,127.7115,619.6369
79,272.6058,1267.064
80,285.0367,717.6999
81,613.0027,1331.135
82,719.2534,1343.544
83,704.426,1346.5
84,385.2845,1344.889
85,466.9539,1243.718
86,466.7167,1217.188
87,604.0566,1332.328
88,491.7635,1267.604
89,83.28178,1343.651
90,496.4622,1402.47
91,682.3578,1323.084
92,703.0175,1333.011
93,500.9522,1323.17
94,623.2018,1260.569
95,497.6889,1374.685
96,533.9639,1297.158
97,505.4439,1343.954
98,485.1405,1335.344
99,526.4915,1356.19
100,528.2538,1343.102
101,594.6716,1320.739
102,714.1448,1361.073
103,613.0004,1390.548
104,555.9608,1412.565
105,763.8461,1319.571
106,731.1437,1341.71
107,645.8924,1310.619
108,488.2231,1427.122
109,644.3047,1323.417
110,707.3856,1416.505
111,552.8286,1408.511
112,341.1006,1399.272
113,729.9889,1491.149
114,-96.68712,1438.067
115,664.1293,1348.978
116,483.0452,1277.531
117,545.9698,1327.815
118,764.5054,1323.854
119,821.2419,1362.875
120,477.1213,1366.826
121,680.363,1317.129
122,750.0481,1524.532
123,764.5074,1500.698
124,637.2798,1491.009
125,696.1913,1435.849
126,686.9311,1430.913
127,774.085,1572.701
128,918.4208,1461.884
129,805.7342,1295.024
130,974.6246,1310.829
131,985.861,1417.717
132,994.3737,1371.223
133,882.1827,1445.342
134,898.6769,1453.327
135,780.3934,1436.286
136,711.0999,1354.482
137,472.7809,1346.871
138,482.1601,1422.079
139,669.3273,1433.017
140,434.1559,1309.121
141,535.3146,1449.652
142,749.4664,1297.44
143,639.0157,1344.805
144,151.6717,1244.818
145,699.2463,1408.29
146,535.783,1332.665
147,622.5961,1458.051
148,832.7173,1463.642
149,468.8437,1464.887
150,396.9765,1336.374
151,597.7878,1365.163
152,563.7697,1367.885
153,-129.6753,1348.216
154,61.59512,1332.6
155,590.6957,1490.953
156,780.2402,1404.622
157,-52.40812,1415.579
158,524.9687,1423.377
159,491.1194,1389.481
160,569.6995,1541.705
161,579.3666,1416.811
162,737.9889,1417.335
163,720.4689,1424.046
164,638.1608,1391.151
165,478.1624,1424.997
166,852.0665,1420.386
167,598.7106,1319.754
168,388.7495,1391.869
169,505.5134,1318.074
170,401.168,1410.928
171,292.1245,1343.047
172,352.199,1297.479
173,629.8326,1391.584
174,424.502,1316.714
175,767.081,1393.033
176,540.9367,1355.522
177,487.3436,1351.391
178,338.5721,1460.279
179,846.0597,1419.27
180,-107.4282,1298.47
181,367.336,1250.48
182,605.0785,1312.069
183,641.6752,1390.904
184,765.7856,1395.551
185,445.9431,1370.297
186,656.5939,1425.771
187,328.9983,1340.39
188,549.9877,1344.398
189,202.1213,1351.643
190,151.901,1187.232
191,397.5106,1404.547
192,549.1217,1374.727
193,487.2213,1319.343
194,421.7816,1344.974
195,606.9926,1452.615
196,667.2136,1280.905
197,708.2042,1300.509
198,446.9346,1287.991
199,493.6519,1266.242
200,649.224,1400.141
201,853.2272,1252.761
202,781.2085,1458.697
203,809.2141,1438.679
204,295.0872,1411.696
205,746.0012,1511.719
206,504.4284,1315.234
207,687.0179,1429.595
208,327.5188,1335.24
209,583.8046,1460.098
210,723.2703,1468.522
211,299.5535,1406.646
212,504.5761,1441.05
213,634.2313,1333.749
214,474.5128,1482.202
215,871.4695,1408.864
216,454.2827,1376.849
217,635.5878,1336.129
218,687.0411,1310.644
219,640.8154,1372.071
220,828.8766,1391.395
221,599.8813,1322.383
222,922.2289,1503.648
223,799.2409,1381.257
224,763.1821,1462.754
225,713.7015,1468.22
226,165.8154,1432.969
227,603.0557,1448.345
228,729.1607,1486.703
229,957.5465,1404.469
230,887.9982,1462.703
231,1053.158,1471.42
232,954.4044,1465.005
233,734.1476,1474.447
234,485.666,1490.614
235,834.5775,1494.711
236,763.2318,1481.41
237,893.8459,1466.702
238,643.3935,1467.554
239,882.5466,1507.529
240,1008.083,1564.771
241,1091.559,1481.811
242,1117.28,1496.061
243,1075.817,1485.274
244,729.3456,1522.297
245,1011.43,1492.093
246,1047.277,1524.93
247,918.8071,1545.99
248,1109.877,1536.31
249,997.3164,1549.972
250,1120.307,1546.21
251,1327.208,1560.238
252,994.6741,1571.722
