GenerationNum,AverageFitness,HighestFitness
1,-3124.767,-129.5551
2,-2600.475,422.6415
3,-3474.895,196.7928
4,-4273.827,251.6687
5,-4256.632,-25.37081
6,-3386.328,244.6135
7,-2805.233,238.0889
8,-3135.409,617.5067
9,-2878.939,381.2926
10,-2879.04,-187.242
11,-3058.715,583.647
12,-3839.477,-44.00274
13,-2772.089,355.9086
14,-3352.814,495.3349
15,-3505.19,241.193
16,-2630.516,683.6911
17,-4256.275,-787.9191
18,-3972.792,617.5993
19,-4443.417,309.0177
20,-2849.742,459.3987
21,-2420.546,604.1924
22,-2743.67,591.3161
23,-1287.666,760.8204
24,-3741.564,852.3961
25,-3046.318,790.7305
26,-1181.318,719.0536
27,-2582.346,684.1819
28,-817.7983,593.4209
29,-2871.294,589.8603
30,-2714.087,424.5372
31,-1895.593,360.6682
32,-1025.377,754.3153
33,-1795.995,822.2881
34,-905.9704,571.9907
35,-440.7334,760.7167
36,-1883.126,852.1343
37,-507.1375,664.1398
38,-1546.127,641.6933
39,-1965.006,900.2914
40,-1249.583,844.7177
41,-1957.461,423.7346
42,-1687.133,752.5743
43,-2299.65,525.9035
44,-1398.126,746.5648
45,-1087.989,607.921
46,-2801.97,684.8013
47,-1541.001,775.6436
48,-1715.264,684.4961
49,-2222.442,609.5172
50,-643.418,605.1326
51,-999.1644,721.6201
52,-1101.496,571.0025
53,-2280.063,774.5692
54,-768.1036,749.8394
55,-721.2845,720.8629
56,-981.369,693.9602
57,-14.13699,759.3311
58,-398.1302,444.7911
59,-410.7336,719.4022
60,-1692.048,923.3614
61,-1432.595,598.1916
62,-1091.197,648.0737
63,-473.3276,584.8911
64,-201.8881,827.8746
65,-1249.724,623.6129
66,-1415.114,621.0328
67,-921.7679,599.4681
68,-2427.532,488.579
69,-1224.32,635.3838
70,-470.9091,653.1766
71,-1600.641,714.0634
72,-1137.355,614.9563
73,-838.5423,533.1637
74,-1776.862,896.3409
75,-389.858,753.8062
76,-498.2963,761.7083
77,-728.3242,901.4709
78,-1242.651,629.5229
79,-1783.163,781.2286
80,-948.949,778.0914
81,-283.9834,818.315
82,-1291.886,564.2942
83,-617.3922,757.0468
84,-875.5387,573.1597
85,-1273.528,609.0804
86,-1007.842,633.4082
87,-1303.638,440.3665
88,-1805.81,531.8341
89,-1945.587,531.6706
90,-1221.786,613.7549
91,-719.3229,566.8782
92,-1450.531,510.2304
93,-2430.996,749.4097
94,-1481.595,740.5463
95,-2157.81,745.1906
96,-1870.225,376.8191
97,-503.5946,581.5736
98,-520.3726,609.5784
99,-2270.131,929.8297
100,-1621.876,698.9011
101,-977.8026,439.1136
102,-2097.405,808.2815
103,-2116.547,592.2539
104,-1078.927,457.2092
105,-465.8943,1193.427
106,-400.9705,594.5602
107,-145.6714,586.562
108,-875.6187,856.851
109,-1001.896,790.9414
110,-1379.105,967.6303
111,-271.9312,491.2902
112,-1378.896,732.0646
113,-1182.845,941.5906
114,-1022.775,723.6144
115,-174.269,633.0275
116,-413.5767,608.1727
117,-764.243,665.627
118,-414.1999,606.22
119,-1701.547,758.9331
120,-651.4363,717.8675
121,-779.0781,491.9816
122,-1578.121,811.2242
123,-953.7242,549.474
124,-881.3859,675.1848
125,-1103.727,647.2217
126,-425.4631,588.0444
127,-607.7139,810.6132
128,-1105.473,1157.801
129,-1334.162,658.182
130,-1379.384,762.7292
131,-1360.199,766.1118
132,-1239.115,685.7256
133,-1198.913,658.2365
134,-859.7128,675.4861
135,-1603.995,637.1953
136,-1203.351,771.3477
137,-1896.017,941.8238
138,-1281.761,752.1716
139,-462.5313,680.2693
140,-1168.777,846.6699
141,-2971.834,693.8148
142,-1426.623,842.0068
143,-935.7998,808.4156
144,-1133.821,820.8091
145,-2657.604,670.7465
146,-3091.49,837.1275
147,-3438.029,733.0084
148,-3192.67,850.7921
149,-3912.435,217.1842
150,-2803.33,810.4288
151,-3321.652,773.7476
152,-4255.194,794.2822
153,-1625.889,736.4208
154,-1711.016,880.6791
155,-2864.54,819.0187
156,-4308.417,643.4523
157,-3108.771,717.1498
158,-4618.817,787.7482
159,-5120.108,781.5806
160,-4690.424,717.2904
161,-6583.914,539.863
162,-7244.701,535.8608
163,-2742.328,503.2546
164,-2400.32,645.6087
165,-1030.628,729.9451
166,-2245.654,867.8655
167,-1010.987,943.3582
168,-1470.175,719.5482
169,-2972.783,684.3293
170,-3052.669,720.5666
171,-4227.503,426.2006
172,-3667.789,762.6132
173,-3479.534,550.5533
174,-2870.539,599.8938
175,-6898.562,315.4294
176,-3942.521,581.6229
177,-3132.629,607.5979
178,-2773.785,896.6673
179,-4830.083,660.8507
180,-3626.741,808.677
181,-3528.724,521.9883
182,-3615.821,610.0336
183,-4119.788,838.9699
184,-2662.212,607.3563
185,-3167.935,790.2064
186,-3021.597,689.7181
187,-3274.875,663.0054
188,-2939.63,461.7143
189,-1930.371,576.9375
190,-508.223,715.2247
191,-1142.853,482.5729
192,-1819.155,688.152
193,-2126.482,754.5546
194,-2841.371,680.5862
195,-3190.933,643.261
196,-2578.308,316.9811
197,-1482.06,512.4931
198,-2634.339,1202.075
199,-3121.699,812.2245
200,-2629.912,707.6534
201,-1415.307,870.6378
202,-841.5635,655.2242
203,-3917.716,597.5266
204,-936.8036,804.3882
205,-1669.452,614.1974
206,-2060.167,843.3512
207,-4175.964,525.7238
208,-3144.594,471.2089
209,-1795.865,438.3044
210,-1550.978,506.5241
211,-2923.21,545.4135
212,-4909.593,916.1531
213,-2935.738,714.6662
214,-2892.827,817.858
215,-3368.519,406.1628
216,-1453.205,722.519
217,-3898.324,615.3818
218,-4603.427,815.6348
219,-2571.328,648.7036
220,-5362.262,846.861
221,-5874.01,536.6595
222,-5349.71,461.5739
223,-5979.522,80.30811
224,-6308.577,368.0881
225,-2778.771,180.7185
226,-2561.338,639.5471
227,-2574.301,467.1339
228,-1923.802,432.5826
229,-1488.896,542.6434
230,-1080.921,785.1976
231,-2016.527,749.398
232,-722.0768,699.4926
233,-902.0433,574.9991
234,-1601.8,566.2813
235,-1058.625,772.2794
236,-1327.214,651.0462
237,-184.0862,522.3619
238,-603.2444,614.4722
239,-885.9272,791.5811
240,-2018.285,487.1844
241,-727.5031,724.7302
242,-287.0076,697.4169
243,-775.5175,624.259
244,-1861.216,402.9612
245,-1220.951,559.511
246,-1110.152,585.4472
247,-1029.687,895.5897
248,-2002.493,660.0626
249,-635.4992,699.7634
250,-679.6215,1111.761
251,-1169.694,601.4318
252,-663.007,881.0211
253,-453.2765,960.4637
254,-651.6376,917.6255
255,-797.8312,872.4636
256,-707.706,652.3248
257,-621.9509,511.0335
258,-201.6745,804.1118
259,-755.9337,696.6614
260,-352.2711,570.4922
261,-832.4434,911.844
262,-390.9954,669.1143
263,1.934164,806.9156
264,-263.6623,664.2443
265,-247.0216,909.3802
266,-506.8546,750.9989
267,-338.1135,758.5947
268,-473.8406,940.514
269,-2111.361,781.7358
270,-1175.317,823.6001
271,-1226.497,416.091
272,-1926.641,803.364
273,-1268.57,554.6816
274,-945.098,781.3852
275,-2653.928,575.5251
276,-1500.105,612.9771
277,-1297.923,611.3872
278,119.8542,733.6055
279,-835.5343,380.3567
280,-328.733,604.8611
281,-1677.887,877.3552
282,-2072.202,611.518
283,-1366.06,720.5988
284,-454.362,709.6673
285,-3414.969,567.3444
286,-1603.692,683.8961
287,-881.3723,917.341
288,-1639.33,738.694
289,-1484.805,698.2831
290,-1477.214,834.4132
291,-1267.567,811.1471
292,-3223.479,714.8107
293,-701.4553,691.7665
294,-1358.631,606.0291
295,-1687.357,719.9052
296,-991.3409,971.5974
297,-1705.02,513.587
298,-1780.692,786.5195
299,-1471.163,732.1353
300,-727.8046,718.0475
301,-1536.09,606.5404
302,-1024.635,633.7236
303,-2411.466,537.9139
304,-1854.057,889.1904
305,-1536.178,679.782
306,-1098.064,720.851
307,-3066.863,536.0659
308,-2114.531,528.6615
309,-630.8918,585.5281
310,-514.787,853.395
311,-1099.187,889.1013
312,-1228.542,632.4598
313,-886.4604,712.1572
314,-1199.876,943.7527
315,-1140.954,905.8141
316,-1650.429,499.7781
317,-796.2216,786.2031
318,-1280.122,735.9867
319,-1960.224,815.4199
320,-1713.167,623.3037
321,-1350.596,611.1099
322,-1472.136,818.7676
323,-799.1376,843.2359
324,-696.6523,768.2374
325,-429.9929,641.7363
326,-1089.549,597.4888
327,-1343.838,688.8915
328,-1537.916,594.2273
329,-735.738,648.6991
330,-1379.052,642.3944
331,-990.1333,669.2003
332,-1063.324,687.2844
333,-215.3094,484.2247
334,-739.7679,823.7151
335,-643.8891,799.3313
336,119.4835,732.8905
337,135.4588,645.486
338,-405.3884,733.7919
339,-598.1945,409.8079
340,-277.3063,735.0062
341,32.94339,684.7029
342,-296.6843,641.4308
343,-749.1511,534.1227
344,-2068.273,647.5168
345,-2002.75,584.8682
346,-894.8014,868.3377
347,-1039.408,765.4186
348,-1009.446,500.9103
349,-663.9996,770.4094
350,-1335.35,700.4327
351,-482.8145,626.3263
352,-336.9807,699.1422
353,-303.2058,598.4732
354,-420.9568,672.3489
355,-274.3962,692.6479
356,-898.9426,753.1771
357,-515.7988,521.2759
358,-954.3192,419.4363
359,-491.9835,632.2447
360,-1364.924,678.0245
361,-572.5463,637.9732
362,-693.0013,656.9614
363,-540.6395,628.4417
364,-1665.822,609.6735
365,-1238.774,843.7793
366,-1896.21,428.186
367,-656.9908,690.3738
368,-989.2775,674.0692
369,-384.4907,614.2878
370,-119.5345,658.8631
371,-520.5753,831.2486
372,-66.22648,642.5866
373,-699.9329,593.3621
374,-987.9056,583.1442
375,-563.8664,717.2504
376,-88.0928,755.1575
377,-1611.01,656.4835
378,-968.1141,852.0833
379,-1979.768,582.9284
380,-1423.714,536.4818
381,-933.4534,744.6519
382,-1028.49,668.9648
383,-1761.41,523.8385
384,-430.0351,856.08
385,-1800.744,444.8746
386,-1413.887,609.3658
387,-1744.714,539.5629
388,-2583.27,568.244
389,-1198.245,635.1309
390,-1006.386,713.7384
391,-2351.048,446.053
392,-1742.468,737.6923
393,-1662.888,494.277
394,-770.257,840.4689
395,-1918.602,748.9843
396,-394.2278,718.4041
397,-2787.641,860.2437
398,-1755.359,717.3301
399,-1490.123,822.8807
400,-2236.48,788.8373
401,-1771.326,706.283
402,-809.7035,783.8709
403,-1293.24,407.7346
404,-361.2219,946.7103
405,-861.9909,1174.137
406,-1428.126,795.5383
407,-1346.393,770.8152
408,-2409.456,641.0403
409,-1171.443,693.0215
410,-1381.713,646.8998
411,-1689.401,721.1818
412,-1103.211,726.7673
413,-1103.992,701.4556
414,-1842.856,583.0264
415,-1636.906,435.8468
416,-2320.674,313.0334
417,-2043.167,687.1999
418,-1332.462,703.1693
419,-2582.991,297.9005
420,-2864.434,676.1478
421,-1756.707,703.4691
422,-1585.444,469.9769
423,-1295.203,646.8557
424,-996.1714,590.6044
425,-1380.084,474.4193
426,-1168.655,470.4815
427,-1474.48,510.2003
428,-1713.442,456.6125
429,-1468.01,363.1194
430,-750.7448,710.8953
431,-1400.015,627.9506
432,-1080.306,651.6157
433,-858.7189,785.8174
434,-1078.232,754.5701
435,-760.0388,790.1014
436,-1546.841,522.2883
437,-1520.843,540.8427
438,-1612.944,671.3837
439,-718.0992,618.0924
