GenerationNum,AverageFitness,HighestFitness
1,-89.78518,872.7427
2,-375.2379,1163.474
3,-459.9996,942.5384
4,-605.0635,810.7592
5,-494.5831,865.7126
6,-1205.539,307.2818
7,-689.2697,988.9501
8,-850.0803,734.9395
9,-2018.587,661.8984
10,-589.3746,832.7662
11,-420.2009,1132.495
12,-1245.441,962.0092
13,-741.4659,959.8723
14,-589.8411,1214.134
15,-1487.829,991.8787
16,-696.5929,1187.625
17,-1019.032,1186.992
18,-577.7791,797.0203
19,-882.3496,1140.765
20,-771.1732,853.2114
21,-219.8344,1128.257
22,-135.8491,1181.322
23,740.9271,1154.09
24,-102.4296,993.8821
25,174.7827,1163.232
26,-131.3909,1139.873
27,347.0069,934.5505
28,66.76937,1185.451
29,53.19157,938.698
30,356.8151,950.6331
31,316.7777,1103.919
32,-111.9619,992.1965
33,389.6108,1181.183
34,-602.2617,1131.631
35,-322.4581,1191.439
36,268.0129,990.8225
37,-223.7845,963.2493
38,93.34379,1119.401
39,-783.3361,900.2351
40,442.7254,1176.353
41,-325.4377,998.3964
42,-428.5661,1152
43,125.3249,1129.714
44,-194.0406,955.4128
45,422.6389,1152.384
46,376.8327,971.6312
47,451.5691,1148.164
48,445.6038,1191.67
49,256.7806,1115.308
50,518.4574,1148.575
51,491.2366,1151.034
52,743.5229,1229.986
53,699.1329,1185.484
54,826.9139,1164.416
55,899.0135,1170.382
56,553.6924,1256.188
57,992.6547,1471.629
58,960.6473,1234.566
59,456.5709,1135.588
60,831.5598,1159.719
61,233.156,1218.215
62,884.4272,1243.66
63,816.051,1342.891
64,621.9164,1233.681
65,855.5305,1232.289
66,839.4468,1155.854
67,744.0846,1201.212
68,680.6182,1198.421
69,42.66476,1217.073
70,-9.590563,1182.902
71,575.4388,1390.004
72,520.6024,1356.851
73,-60.99925,1348.644
74,-186.9746,1354.905
75,756.3489,1442.456
76,284.7872,1204.169
77,458.7875,1315.438
78,-336.4525,1164.533
79,701.6629,1168.423
80,128.5842,1242.801
81,754.4961,1283.793
82,-235.4808,1147.49
83,540.8981,1210.518
84,281.9527,1302.486
85,143.7231,1227.633
86,-577.921,1117.455
87,295.6723,1141.013
88,-176.3256,1133.761
89,-660.6509,1184.412
90,-233.5531,1323.588
91,-530.7953,1333.854
92,-1463.848,1212.484
93,-31.03089,1125.74
94,-301.0537,1127.029
95,-1027.583,1204.834
96,-436.4593,1195.135
97,-66.59717,1252.063
98,-422.1085,1224.663
99,-243.5255,1179.039
100,228.714,1195.827
101,213.4253,1241.85
102,-387.3772,1193.779
103,35.6615,1239.039
104,-244.3912,1217.13
105,-581.1244,1161.636
106,-109.4847,947.5742
107,-92.53912,1021.35
108,-596.1998,1153.78
109,205.0785,1231.797
110,-1109.513,1104.391
111,-296.1873,1274.553
112,-135.325,1158.941
113,321.9212,1203.217
114,135.8534,1217.988
115,339.2463,1259.682
116,15.05832,1255.833
117,209.649,1248.546
118,213.1173,1259.162
119,21.91118,1180.799
120,287.2779,1196.322
121,111.3734,1177.324
122,-31.22718,974.4487
123,213.2962,1130.296
124,-1437.956,1156.404
125,116.5926,1255.007
126,-34.04889,1231.146
127,295.6421,1173.288
128,270.7719,1107.945
129,218.2943,901.3056
130,359.5117,948.187
131,243.4311,1166.6
132,360.8071,1261.741
133,382.7552,1203.905
134,291.0034,1204.647
135,272.726,1120.733
136,157.417,854.9767
137,526.057,1103.211
138,499.3768,1122.055
139,442.5009,1104.974
140,204.4216,984.9113
141,279.3586,1149.987
142,186.0543,954.6542
143,223.2454,1137.48
144,-6.785395,927.932
145,467.6869,974.8319
146,41.98399,1119.17
147,154.9198,1158.649
148,209.4217,1207.689
149,343.8343,1134.113
150,-145.4279,1141.603
151,529.0998,1208.267
152,-302.0794,974.5717
153,468.7891,1218.315
154,406.0513,1129.607
155,-564.6422,1117.734
156,23.00602,929.8983
157,8.417127,1121.499
158,397.5208,977.4687
159,115.5617,991.3317
160,-466.9013,1104.161
161,-12.26373,1265.564
162,-358.9079,1125.329
163,-347.2357,1138.709
164,2.410514,1195.142
165,436.0292,1001.627
166,48.78476,1001.677
167,386.3652,941.0936
168,-94.11338,908.3474
169,218.6228,1306.288
170,306.0037,1137.983
171,-244.4171,971.2152
172,-110.5075,953.4388
173,-686.0438,877.29
174,-245.6308,921.288
175,183.7575,925.9098
176,-394.2691,1107.612
177,136.4914,1124.769
178,-75.54355,1148.984
179,-730.1337,1136.554
180,-97.86236,1195.889
181,-537.5243,1104.312
182,-441.5915,972.8497
183,206.7385,1196.048
184,-221.9925,1154.826
185,-39.13126,1111.032
186,-505.1348,992.5037
187,-256.0832,1137.141
188,-177.5265,1311.223
189,222.9695,1227.564
190,276.1128,1188.7
191,222.4638,1185.964
192,153.3719,1274.214
193,-423.7616,1187.601
194,243.1074,1178.27
195,-113.083,1244.094
196,423.4259,1256.579
197,307.6862,1145.544
198,153.8848,1269.226
199,-118.6448,1169.236
200,532.379,1341.663
201,496.7946,1225.273
202,239.2069,1210.969
203,101.5177,1294.758
204,640.3638,1162.843
205,831.8127,1303.835
206,793.9534,1256.313
207,845.4212,1251.416
208,755.6276,1241.066
209,536.3222,1340.857
210,728.5643,1215.978
211,880.4072,1426.874
212,855.4945,1278.142
213,655.4083,1270.504
214,500.5212,1197.361
215,-385.0513,1161.738
216,385.6844,1258.975
217,941.4207,1244.09
218,391.6276,1225.618
219,627.4062,1339.065
220,791.8359,1215.551
221,780.6967,1187.684
222,448.1694,1201.53
223,502.8363,1223.329
224,604.2104,1352.254
225,-217.3411,997.8713
226,443.9113,1131.151
227,229.2705,1353.85
228,-87.9943,1154.068
229,409.7222,1165.53
230,366.2949,1222.171
231,443.707,1279.207
232,388.2706,1185.035
233,272.6889,1250.4
234,130.3907,973.7551
235,256.5756,1295.487
236,343.0796,1185.932
237,334.4678,1248.8
238,365.3669,1128.669
239,405.019,1261.343
240,290.5374,1135.543
241,489.4968,1242.016
242,675.3578,1250.551
243,491.8033,1206.931
244,589.5383,1100.472
245,412.3584,1140.025
246,446.9488,1228.508
247,638.3882,1203.697
248,541.9559,1262.21
249,483.2849,1250.758
250,454.869,1189.357
251,444.6879,1185.409
252,250.0362,1220.051
253,152.4675,1223.749
254,145.4039,1242.708
255,203.4949,1125.802
256,231.5114,1282.513
257,559.4681,1191.306
258,158.7157,1168.866
259,296.1645,1316.898
260,358.4242,1240.859
261,184.7686,1203.453
262,342.845,1196.536
263,319.3315,1327.891
264,220.8473,1125.333
265,115.3313,1257.044
266,85.91286,1121.446
267,244.9369,1122.227
268,364.2247,1199.872
269,258.5713,1315.653
270,713.4972,1275.958
271,620.2115,1247.564
272,92.07131,1288.508
273,521.0176,1353.069
274,585.5001,1308.225
275,713.919,1236.12
276,517.8693,1235.595
277,653.9238,1271.317
278,749.2413,1341.62
279,716.7983,1292.545
280,475.0002,1240.049
281,494.4845,1188.29
282,550.54,1496.497
283,435.9076,1166.247
284,-6.06627,1188.151
285,429.2392,978.2503
286,585.5566,1228.795
287,432.4827,1177.461
288,206.4078,1208.822
289,242.0807,1145.923
290,-73.2659,1283.193
291,501.9604,1118.425
292,571.4808,1304.075
293,161.5463,1224.582
294,582.3929,960.015
295,384.5917,1209.585
296,575.3395,1248.413
297,139.0316,1259.438
298,294.0185,1310.038
299,172.6517,1185.717
300,27.59829,1214.963
301,490.283,1242.078
302,321.4214,1158.302
303,226.008,1204.381
304,-231.0959,1349.008
305,-241.9499,1208.308
306,666.9103,1276.744
307,368.9073,1248.105
308,-526.4764,1319.742
309,247.6269,1217.331
310,471.6436,1221.921
311,191.3981,1173.083
312,-449.258,1247.715
313,-37.18233,1182.06
314,-461.7231,1179.601
315,-465.0677,1224.355
316,-56.26801,1325.829
317,-244.2003,1197.115
318,486.8625,1233.808
319,438.8,1254.327
320,902.5579,1224.914
321,910.2866,1235.154
322,688.3102,1215.133
323,807.4932,1262.341
324,54.845,1443.17
325,509.0119,1232.478
326,876.547,1261.783
327,735.0034,1194.145
328,744.9501,1215.235
329,738.6412,1235.969
330,469.2627,1259.46
331,945.9395,1272.205
332,780.0695,1266.05
333,491.703,1158.633
334,1018.758,1305.992
335,180.0499,1316.144
336,904.2127,1320.179
337,200.393,1338.682
338,719.7563,1246.468
339,907.3525,1291.113
340,938.2251,1284.695
341,1021.565,1797.148
342,791.7093,1457.657
343,688.5033,1357.536
344,1055.098,1332.434
345,819.9138,1398.15
346,556.609,1322.288
347,950.7902,1386.689
348,815.5233,1292.968
349,727.508,1422.081
350,429.355,1244.067
351,633.1976,1259.902
352,1002.233,1330.379
353,744.4304,1320.735
354,766.0086,1305.013
355,726.061,1298.999
356,294.7208,1264.319
357,815.3763,1309.143
358,824.7354,1332.842
359,767.3149,1322.338
360,861.6515,1372.021
361,662.5063,1253.196
362,842.629,1201.505
363,875.4941,1338.818
364,940.7175,1324.53
365,845.9204,1308.176
366,876.6598,1465.009
367,924.6849,1204.339
368,528.4326,1378.664
369,549.9562,1225.392
370,310.4678,1321.661
371,-78.06509,1342.487
372,653.2817,1379.806
373,201.9431,1254.175
374,71.19946,1251.198
375,616.7521,1263.303
376,592.3104,1367.922
377,608.8588,1234.505
378,298.3814,1459.909
379,658.8777,1423.091
380,880.3878,1272.114
381,-268.0864,1330.552
382,626.973,1314.651
383,738.9178,1204.503
384,539.4451,1484.585
385,798.5524,1268.664
386,555.3715,1290.552
387,574.4946,1448.734
388,-401.1443,1468.444
389,736.4077,1288.625
390,702.4828,1317.268
391,513.7429,1301.189
392,600.9114,1350.97
393,126.3684,1210.161
394,297.8083,1439.635
395,498.5204,1244.34
396,305.3208,1235.997
397,219.3716,1175.218
398,202.4471,1218.179
399,11.68912,1248.945
400,211.1206,1218.589
401,527.6276,1341.433
402,78.14077,1173.9
403,187.5317,1312.402
404,-31.43317,1206.026
405,314.1403,1341.668
406,966.4028,1377.924
407,786.6022,1211.068
408,733.122,1344.557
409,21.56696,1303.904
410,443.982,1284.771
411,544.5287,1335.153
412,849.7618,1284.996
413,928.8082,1387.326
414,933.2151,1379.823
415,288.3041,1395.896
416,1069.73,1385.32
417,967.9366,1226.015
418,617.5731,1946.235
419,754.4766,1365.016
420,-66.4131,1315.221
421,589.7303,1151.498
422,751.8349,1444.863
423,797.0086,1374.355
424,611.7137,1383.077
425,23.34161,1231.845
426,1018.4,1420.438
427,852.7269,1331.332
428,652.7,1228.287
429,468.8535,1302.434
430,987.6614,1427.664
431,899.6907,1303.826
432,763.2269,1192.05
433,606.6419,1247.259
434,698.7513,1220.238
435,652.9988,1319.895
436,365.5352,1335.453
437,723.1265,1352.58
438,495.7154,1220.005
439,-3.23179,1213.977
440,701.6827,1300.758
441,441.0745,1308.892
442,288.2969,1231.748
443,505.5261,1314.536
444,717.9554,1366.138
445,-135.153,1200.549
446,653.0262,1254.166
447,297.1844,1194.869
448,603.0719,1218.425
449,398.2693,1195.139
450,128.7989,1340.731
451,41.16683,1230.112
452,298.207,1162.604
453,-319.2368,1363.272
454,387.2457,1312.305
455,272.606,1376.143
456,353.8909,1222.94
457,165.2844,1390.32
458,621.1547,1368.475
459,230.9716,1311.562
460,716.7655,1222.287
461,734.3256,1210.494
462,556.0048,1276.026
463,708.1994,1179.577
464,347.1933,1318.106
465,550.829,1284.983
466,383.7548,1157.408
467,658.449,1225.496
468,871.7015,1304.214
469,413.2113,1387.407
470,612.0675,1178.453
471,780.1921,1231.681
472,665.5912,1243.928
473,887.2876,1293.04
474,592.7814,1133.727
475,306.4865,1290.006
476,441.5887,1218.846
477,441.1776,1417.336
478,825.1888,1285.442
479,175.0612,1292.725
480,346.3972,1287.047
481,880.9811,1177.647
482,400.6862,1210.633
483,409.577,1220.165
484,270.0826,1237.793
