GenerationNum,AverageFitness,HighestFitness
1,-493.9977,989.243
2,-902.8375,946.0472
3,-1597.171,1136.875
4,-1111.901,831.6424
5,-332.892,993.538
6,-519.8087,1252.759
7,-1127.662,445.0339
8,-960.6564,832.5597
9,-819.1898,865.65
10,-422.1467,1078.792
11,-666.9855,773.6723
12,-172.0548,1197.904
13,-703.8489,734.355
14,-1067.625,1135.837
15,-1061.091,883.3937
16,-1698.174,1336.274
17,-719.5606,892.8671
18,-1308.861,971.0526
19,-404.5324,1269.844
20,-785.414,826.2545
21,-137.5986,1342.261
22,358.3111,1267.543
23,680.6276,1335.747
24,659.0274,1285.297
25,561.1141,1437.704
26,-256.8697,1285.424
27,554.4492,1234.049
28,170.3398,1269.94
29,217.3547,1274.818
30,860.7832,1340
31,87.07901,1288.144
32,664.5905,1371.524
33,557.5276,1312.672
34,160.5228,1295.899
35,268.567,1252.69
36,713.9747,1242.217
37,-309.6906,1313.463
38,20.41734,1315.788
39,74.44505,1229.198
40,-805.1717,1293.295
41,63.27647,1343.462
42,260.2804,1408.013
43,-37.0072,1308.624
44,139.4852,1366.256
45,-709.7843,1347.766
46,807.6559,1343.472
47,211.4845,1336.463
48,-254.578,1319.985
49,336.7263,1227.538
50,192.6245,1306.503
51,96.16786,1342.148
52,-1490.7,1263.148
53,-427.2902,1342.399
54,252.01,1322.123
55,-337.8575,1323.186
56,-1138.361,1357.961
57,-1015.737,1262.739
58,-727.3157,1426.36
59,41.18266,1346.555
60,44.89574,1380.161
61,-582.526,1324.016
62,877.4066,1302.006
63,244.5957,1319.355
64,70.11774,1368.82
65,-5.3091,1301.367
66,785.9221,1325.539
67,514.6017,1336.586
68,601.299,1318.33
69,-100.6473,1288.409
70,96.05045,1361.349
71,341.9763,1309.584
72,-480.7741,1318.881
73,-694.3937,1349.69
74,333.3621,1341.527
75,126.1073,1328.826
76,-1193.151,1332.129
77,-1224.085,1351.321
78,-430.1514,1414.907
79,-44.84483,1350.842
80,87.0221,1325.978
81,-331.672,1436.535
82,-683.5364,1329.926
83,-817.7687,1476.557
84,-949.2129,1367.743
85,-977.6414,1431.281
86,-937.3833,1360.364
87,-461.8476,1341.006
88,-1227.5,1365.795
89,88.00346,1326.856
90,94.16489,1352.719
91,-23.55298,1383.1
92,-496.7646,1349.052
93,-18.69295,1351.152
94,113.6,1377.63
95,-66.20666,1368.9
96,-1446.845,1447.984
97,582.5604,1355.193
98,-313.7968,1319.424
99,53.69728,1374.917
100,414.756,1324.253
101,100.4349,1531.044
102,-1410.479,1162.093
103,-1466.102,1373.246
104,-1314.011,1348.841
105,-442.7067,1427.437
106,-109.0421,1407.778
107,-517.2267,1405.47
108,-1935.781,1323.641
109,-630.6881,1415.232
110,-501.3216,1497.283
111,-668.3781,1388.474
112,116.9067,1453.312
113,-484.548,1537.687
114,-49.0353,1436.48
115,-544.5734,1487.276
116,-669.799,1459.917
117,-752.8144,1478.774
118,-281.0225,1453.905
119,-1759.294,1433.434
120,-895.0079,1394.32
121,-1122.645,1473.603
122,-614.0261,1427.963
123,-848.1543,1431.184
124,223.6576,1417.142
125,-622.4076,1446.163
126,-456.9735,1491.115
127,-162.4008,1508.389
128,-835.7695,1451.305
129,44.46317,1426.187
130,-460.7582,1411.94
131,-290.6791,1470.231
132,796.3892,1517.929
133,73.99099,1481.044
134,163.0932,1493.619
135,113.9595,1485.207
136,968.6278,1560.874
137,744.232,1524.248
