GenerationNum,AverageFitness,HighestFitness
1,-828.5239,807.8623
2,-697.3082,798.0383
3,-612.4791,1164.262
4,-1514.179,976.1036
5,-839.1584,726.6455
6,-1065.704,463.1273
7,-1054.724,877.9721
8,-1038.881,762.9708
9,-620.8823,815.4519
10,-885.3908,921.5895
11,-979.0363,757.7496
12,-935.9803,548.226
13,-380.4576,761.3087
14,-798.6348,1223.806
15,-1103.923,995.2697
16,-844.8709,874.0162
17,-1070.948,972.7162
18,-881.4109,973.4006
19,-1061.697,670.7585
20,-1150.711,840.7361
21,-821.179,1197.965
22,266.58,1342.991
23,785.8716,1296.824
24,775.8862,1249.121
25,663.7205,1331.907
26,145.6202,1260.23
27,381.402,1378.924
28,900.1426,1307.074
29,787.068,1337.613
30,923.21,1314.042
31,856.022,1318.599
32,830.147,1289.87
33,36.89878,1345.398
34,601.5172,1303.139
35,253.2438,1341.525
36,161.8585,1346.877
37,335.5212,1339.409
38,-438.0625,1554.839
39,478.3611,1513.667
40,600.1049,1484.956
41,596.0749,1482.646
42,730.0524,1477.808
43,677.7922,1375.751
44,146.1277,1356.747
45,421.3723,1510.517
46,756.6051,1530.768
47,914.5977,1538.716
48,727.0799,1483.37
49,631.2982,1565.782
50,428.5972,1554.253
51,861.0638,1470.895
52,858.1299,1460.984
53,-726.6734,1455.934
54,-1137.924,1526.291
55,17.88299,1394.443
56,603.2722,1342.266
57,-231.1233,1504.999
58,-34.94208,1541.672
59,-478.9508,1414.573
60,-454.5515,1248.447
61,-39.4363,1294.086
62,-858.4259,1381.59
63,-663.9626,1364.918
64,-70.15625,1283.718
65,-330.6828,1391.628
66,-33.95659,1364.517
67,84.34976,1288.505
68,268.6851,1282.886
69,188.8638,1332.718
70,-232.3999,1361.388
71,-478.942,1390.817
72,125.6041,1376.918
73,-254.6275,1242.603
74,708.2559,1321.866
75,640.8353,1322.097
76,525.3158,1221.258
77,267.0222,1477.952
78,589.4026,1448.43
79,717.7778,1287.628
80,109.2663,1234.492
81,392.2787,1378.567
82,634.7295,1326.63
83,515.9711,1362.099
84,189.6174,1323.24
85,574.5162,1347.764
86,442.1069,1446.318
87,265.748,1398.869
88,-99.8865,1885.263
89,166.434,1332.452
90,111.1353,1311.087
91,-73.83165,1966.235
92,374.0218,1367.788
93,205.7718,1596.642
94,-294.2682,1758.561
95,471.4939,4029.933
96,769.7806,1880.002
97,261.7375,3242.705
98,516.8575,3902.062
99,898.5294,5348.741
100,279.4658,5375.835
101,953.6701,4656.985
102,1430.562,3930.992
103,542.5384,3557.566
104,972.5879,5701.292
105,1340.755,4641.879
106,1225.813,7526.756
