GenerationNum,AverageFitness,HighestFitness
1,-504.5162,592.8069
2,268.4293,1578.967
3,-354.9644,856.7763
4,-409.7901,993.5692
5,211.5688,1241.464
6,-1397.977,1147.614
7,-767.5609,503.1697
8,-421.8008,523.9415
9,-511.6405,673.1592
10,-81.58347,363.8073
11,15.03314,829.1527
12,91.05253,870.4918
13,22.43915,1361.944
14,-59.90022,268.8877
15,47.84901,1103.823
16,-481.4659,461.3569
17,-108.2753,245.6104
18,142.6897,784.4116
19,-328.6724,353.5258
20,-14.11338,874.7122
21,-15.3128,1148.039
22,165.1437,1197.757
23,-392.8837,1373.747
24,496.1844,1682.059
25,400.2057,1514.721
26,292.0157,845.5641
27,-934.6381,1757.566
28,175.8713,1196.048
29,215.0793,1547.639
30,192.7586,1190.012
31,275.3163,1568.775
32,-67.49213,1308.279
33,56.72779,688.4858
34,185.2892,1268.331
35,409.0679,1664.739
36,300.8765,1577.999
37,568.9406,1637.963
38,326.1677,1268.348
39,298.9881,1191.175
40,184.4678,1469.958
41,207.6383,1500.469
42,388.8267,1359.322
43,-473.244,1440.966
44,293.6803,1456.721
45,166.3154,1378.446
46,-544.4811,1367.09
47,379.6495,1520.177
48,188.1949,1476.396
49,190.8205,1467.379
50,248.7635,1174.22
51,114.436,1134.297
52,508.3214,1634.633
53,341.3391,1768.935
54,313.5406,1206.141
55,467.775,1609.171
56,346.8259,1655.642
57,388.5381,1810.781
58,563.8563,1767.451
59,507.6379,1570.466
60,317.1142,1823.039
61,296.327,1660.649
62,208.7314,1593.45
63,-324.3708,1518.125
64,-134.8962,1755.408
65,18.78107,1474.365
66,20.6151,2539.668
67,432.4755,1702.082
68,375.3665,1752.175
69,-1740.827,530.616
70,307.8562,1697.343
71,690.6568,1864.915
72,360.2367,1914.68
73,228.2394,1679.268
74,-42.56306,684.6962
75,-63.9464,2101.89
76,147.1645,1315.09
77,286.3528,1343.243
78,257.5589,2032.553
79,-838.1367,1380.456
80,458.9761,1785.006
81,-48.915,1613.102
82,158.84,1211.658
83,-28.48774,1360.965
84,-626.3648,1722.073
85,-647.0721,1290.109
86,188.2009,1108.894
87,-2188.039,1295.538
88,-466.4024,1315.282
89,-1638.751,1578.269
90,-884.0817,1307.121
91,-642.6388,1797.311
92,311.3701,1747.488
93,-109.4828,980.2299
94,-956.6833,1477.434
95,199.877,1736.806
96,-830.0507,1412.743
97,81.87597,1359.555
98,385.5422,1428.193
99,-654.1362,1445.947
100,-5.729047,1639.272
101,-607.2371,1514.564
102,579.515,1521.504
103,14.27595,1231.97
104,764.9728,1623.103
105,-469.4727,1307.344
106,173.4185,843.7008
107,134.3853,1658.453
108,-46.19596,1375.118
109,-377.545,984.9706
110,521.4824,1265.777
111,343.9358,1179.11
112,-441.4671,1895.737
113,190.2371,1666.613
114,202.8709,975.0645
115,534.6796,1256.78
116,-316.6262,811.661
117,-294.6108,1390.398
118,-65.231,1513.393
119,-773.4703,1451.35
120,118.5164,1711.394
121,-13.37787,1492.56
122,158.2855,1462.004
123,-323.9749,1110.578
124,-669.8077,1430.328
125,255.436,938.6061
126,-351.6667,1417.679
127,-1732.14,1610.53
128,-1002.625,726.1764
129,-172.7296,942.4942
130,216.3327,1119.024
131,55.16343,844.1219
132,209.5392,1520.978
133,315.6498,919.7557
134,-870.0685,790.8719
135,100.9492,739.156
136,-422.9331,1799.545
137,-488.5306,1523.242
138,198.007,9431.517
139,186.8922,892.1271
140,35.00518,976.1304
141,-367.259,981.6525
142,37.49619,466.9805
143,193.5338,1542.218
144,280.7198,1489.422
145,-932.5877,862.5546
146,161.2137,1424.893
147,-23.25721,1429.011
148,-17.37015,1137.365
149,249.7986,1829.736
150,329.5642,1529.274
151,-844.4523,1502.942
152,283.08,1302.198
153,-9.781163,866.6116
154,205.5952,1364.939
155,77.42467,1222.572
156,-37.46088,900.4338
157,-461.4242,942.5917
158,64.2618,1263.524
159,50.39714,526.739
160,-519.2566,724.8976
161,111.2265,1393.684
162,-472.0505,1290.132
163,13.23882,1300.26
164,83.31846,1302.17
165,427.8085,1190.886
166,-951.0211,982.2276
167,-336.3083,1202.882
168,212.5006,1460.428
169,-257.8715,560.5226
170,-26.12461,1116.303
171,-154.4248,668.2593
172,-813.9806,542.7961
173,-611.4366,429.1555
174,30.66762,688.7281
175,150.5404,1383.826
176,202.8849,937.3171
177,186.3426,1580.087
178,66.55621,1393.051
179,236.5128,1564.422
180,-121.8654,630.3473
181,-69.07345,747.8944
182,104.8839,604.9636
183,-727.5637,837.6
184,-707.9461,558.2819
185,36.21017,1441.197
186,-501.8216,555.6093
187,344.3851,1434.038
188,-172.8205,1113.758
189,-449.2895,972.7585
190,60.94091,836.333
191,222.7074,1490.69
192,78.94685,1275.403
193,-52.64254,1138.056
194,145.7027,1530.32
195,-381.9908,792.2733
196,300.0571,1516.917
197,69.30782,966.9993
198,96.35429,1293.474
199,36.90586,1547.475
200,12.28637,899.6342
201,188.1904,1361.557
202,88.85974,1606.719
203,312.9106,1400.761
