GenerationNum,AverageFitness,HighestFitness
1,-125.3192,1128.295
2,-491.2758,898.2933
3,-730.9386,1262.339
4,-415.5433,961.8381
5,-218.0362,869.0721
6,-637.4764,1168.583
7,-112.1181,1177.391
8,-856.8451,1278.325
9,-187.1943,1195.237
10,-378.6479,1225.613
11,-1596.915,1369.607
12,-203.1885,1205.094
13,-232.4608,1179.287
14,-229.2146,1101.003
15,-1034.853,1234.078
16,-342.1675,1219.743
17,-903.9623,998.8441
18,-914.3552,1117.673
19,-824.6736,1218.554
20,-414.1835,1190.388
21,819.0209,1354.021
22,656.4369,1322.346
23,849.2728,1351.887
24,689.1182,1385.23
25,1193.38,1351.664
26,859.8509,1333.899
27,583.8785,1349.187
28,908.751,1370.879
29,-754.5241,1360.503
30,350.0122,1360.301
31,663.2344,1387.89
32,997.5387,1400.575
33,873.4033,1541.947
34,779.2019,1590.896
35,720.7091,1568.059
36,725.0356,1665.627
37,653.3162,1668.173
38,1152.181,1678.438
39,791.5426,1639.168
40,793.3935,1609.995
41,1118.656,1666.883
42,842.1017,1656.654
43,738.704,1664.678
44,1248.014,1697.2
45,850.7873,1705.562
46,983.5222,1685.653
47,934.6046,1654.354
48,1026.128,1667.663
49,1117.522,1781.942
50,1162.178,1665.579
51,447.047,1678.361
52,626.9128,1783.502
53,1205.221,1677.773
54,694.8963,1681.756
55,886.8771,1723.435
56,1265.471,1727.878
57,884.0192,1732.49
58,879.4225,1823.177
59,1080.054,1693.543
60,756.1818,1739.135
61,1114.145,1685.714
62,1077.522,1680.874
63,767.2632,1695.617
64,765.8369,1707.024
65,790.053,1955.038
66,380.6972,1697.375
67,754.5922,1781.715
68,1011.037,1897.26
