GenerationNum,AverageFitness,HighestFitness
1,-781.1816,897.0226
2,-441.1463,976.9861
3,-441.1014,1238.11
4,-363.9136,1289.714
5,-1019.755,1120.323
6,-1347.24,710.5009
7,-1031.235,970.5483
8,-797.2999,1269.161
9,-1231.949,789.893
10,-538.0787,1267.365
11,-1114.057,1236.307
12,-588.8915,975.0541
13,-1411.178,897.3894
14,-688.7089,1213.03
15,-767.9839,835.0599
16,-610.5725,1112.133
17,-373.7057,1106.486
18,-1040.325,911.4924
19,-1465.715,1216.049
20,-1082.655,997.4365
21,-583.1411,1224.331
22,-465.0474,1291.232
23,579.2179,1233.262
24,1090.936,1281.621
25,671.6262,1274.951
26,1008.229,1318.008
27,910.5333,1278.971
28,418.5658,1310.046
29,587.0371,1269.007
30,596.7739,1305.839
31,216.6949,1228.576
32,866.6419,1323.579
33,446.1845,1281.952
34,651.7908,1277.874
35,848.5847,1323.108
36,600.2092,1301.202
37,396.4381,1309.718
38,875.5439,1319.876
39,823.6122,1359.246
40,637.9143,1391.105
41,895.9382,1319.775
42,787.5486,1307.432
43,270.0415,1329.048
44,950.6212,1391.129
45,1016.123,1341.085
46,477.1495,1323.4
47,614.1104,1322.141
48,697.5768,1316.95
49,544.2313,1312.424
50,-19.00784,1342.256
51,850.4264,1329.463
52,797.7047,1270.963
53,246.3896,1280.187
54,-141.3868,1294.392
55,769.9965,1338.149
56,851.9961,1325.264
57,717.3312,1311.988
58,310.2934,1312.369
59,953.05,1342.362
60,913.947,1351.125
61,831.1805,1353.868
62,933.9471,2031.6
63,1014.997,1786.747
64,797.2394,1319.357
65,559.79,1352.145
66,600.5269,1302.867
67,672.4269,1365.025
68,601.6027,1295.936
69,436.2697,1368.998
70,1062.259,1341.363
71,732.435,1316.083
72,537.1296,1340.335
73,835.2207,1333.261
74,356.1836,1299.107
75,1144.153,1345.397
76,538.8549,1321.455
77,494.8534,1287.467
78,-76.68257,1277.769
79,1060.904,1390.701
80,1034.513,1274.94
81,480.0365,1331.396
82,1132.097,1353.076
83,834.2259,1333.971
84,-23.12081,1392.612
85,579.979,1351.304
86,459.225,1397.292
87,664.1976,1358.277
88,487.4422,1261.246
89,576.98,1315.151
90,376.209,1331.571
91,336.5862,1353.55
92,289.2572,1232.839
93,801.8433,1374.009
94,543.7269,1323.117
95,950.1508,1390.809
96,322.9942,1361.848
97,454.4131,1349.897
98,603.4738,1327.015
99,702.3352,1337.135
100,847.3256,1412.421
101,320.3012,1394.873
102,155.41,1380.918
103,-258.6129,1566.597
104,638.6165,1359.875
105,719.0323,1371.211
106,464.8043,1362.915
107,627.1637,1361.226
108,196.5902,1332.36
109,565.9652,1366.152
110,424.7834,1342.487
111,332.9302,1359.576
112,-234.9806,1383.837
113,621.3127,1371.208
114,118.2169,1334.615
115,-336.5458,1314.763
116,1001.215,1352.918
117,357.6684,1331.156
118,478.7636,1330.532
119,843.0189,1354.431
120,248.021,1300.193
121,992.2264,1379.333
122,512.0665,1340.121
123,657.2964,1331.938
124,-275.4234,1323.905
125,-88.11076,1352.21
126,292.0122,1333.933
127,273.9406,1396.217
128,247.2943,1301.703
129,185.2862,1343.257
130,-23.57091,1281.525
131,490.7796,1347.469
132,376.8058,1344.244
133,678.7705,1349.607
134,625.1648,1338.227
135,408.2034,1378.595
136,961.0521,1441.789
137,787.288,1470.889
138,738.9496,1376.734
139,214.1069,1323.984
140,792.5316,1308.86
141,721.3273,1383.542
142,368.4297,1307.349
143,576.3663,1339.34
144,379.4798,1323.633
145,454.0618,1310.526
146,280.3395,1320.221
147,474.3748,1342.49
148,-192.6061,1290.126
149,525.8696,1344.315
150,965.6996,1307.355
151,-110.4137,1406.712
152,564.4647,1360.666
153,-189.4193,1327.049
154,398.9438,1355.41
155,787.0432,1355.084
156,605.1301,1346.329
157,341.9088,1339.474
158,320.6595,1270.069
159,301.468,1350.265
160,502.7433,1389.38
161,140.6679,1358.526
162,780.8451,1333.102
163,255.1708,1375.503
164,895.9694,1327.963
165,408.6074,1298.2
166,348.8312,1402.758
167,613.9837,1349.934
168,683.8093,1330.232
169,46.45461,1421.713
170,634.0846,1358.646
171,607.4968,1284.113
172,735.2618,1294.358
173,-86.50014,1309.328
174,228.8856,1303.436
175,683.3244,1324.767
176,-56.40424,1332.858
177,749.8109,1341.543
178,-441.8607,1309.881
179,169.7467,1341.961
180,307.9141,1380.648
181,686.1911,1316.876
182,856.5798,1337.927
183,867.1289,1334.232
184,793.8104,1350.012
185,166.9423,1338.322
186,0.337429,1297.994
