GenerationNum,AverageFitness,HighestFitness
1,-3861.326,447.1503
2,-4106.907,-459.3521
3,-3462.02,413.7122
4,-4397.842,-167.9563
5,-2787.962,-148.2566
6,-4303.837,-59.36269
7,-3557.022,-113.0254
8,-3829.289,-33.07697
9,-3182.003,449.1569
10,-3237.314,-956.3438
11,-4672.537,438.0764
12,-4539.032,-541.0995
13,-3695.835,446.7094
14,-3743.509,-163.9105
15,-3837.513,125.104
16,-4220.468,-386.6871
17,-3003.735,444.191
18,-3554.756,-296.4589
19,-3911.365,1.321041
20,-3451.517,-119.6255
21,-2308.736,446.3439
22,-871.2966,446.4199
23,-522.651,452.6549
24,-419.7485,453.9948
25,47.57061,454.3229
26,214.7979,454.7724
27,-67.27577,454.7864
28,288.8317,454.8859
29,293.7574,455.0768
30,-165.1446,455.0994
31,-188.9473,455.0382
32,-389.1761,455.0922
33,-390.6961,455.1323
34,-713.864,455.1838
35,-148.2346,455.2521
36,51.28331,455.2534
37,127.2349,455.2315
38,109.1036,455.3308
39,-86.5124,455.361
40,-100.5927,455.3651
41,-292.443,455.3868
42,123.7647,455.4084
43,85.2606,455.4279
44,-9.994665,455.4312
45,253.0032,455.4561
46,90.76949,455.4723
47,-69.24254,455.4383
48,261.1767,455.48
49,-426.713,455.4877
50,-109.8725,455.5258
51,-74.68736,455.5375
52,-49.72608,455.5167
53,-213.2423,455.5502
54,93.57794,455.5168
55,219.6513,455.5363
56,284.221,455.5072
57,90.33321,455.5465
58,-307.3727,455.5308
59,-47.90479,455.5416
60,179.5592,455.4974
61,-52.73893,455.5416
62,16.7586,455.5139
63,165.6077,455.5088
64,207.8993,455.5707
65,161.0947,455.5636
66,30.00144,455.5244
67,-119.1724,455.5572
68,-196.7896,455.5175
69,-759.3414,455.555
70,5.174355,455.5281
71,4.575362,455.5413
72,46.06704,455.5372
73,-150.2135,455.5422
74,-50.71931,455.5504
75,-279.6288,455.5485
76,-104.5957,455.5115
77,187.0986,455.5253
78,140.5122,455.5438
79,-103.1068,455.539
80,-162.6847,455.5257
81,-32.12922,455.5334
82,15.35667,455.5362
83,194.2397,455.5396
84,-97.81649,455.551
85,-62.61855,455.5585
86,149.5125,455.5438
87,-193.3621,455.5379
88,-519.4799,455.5217
89,-258.7725,455.5268
90,328.6236,455.5533
91,135.5991,455.5249
92,168.4538,455.5526
93,-402.0088,455.5572
94,-370.713,455.5324
95,-206.3813,455.5233
96,127.0815,455.5411
97,-372.325,455.5175
98,-421.7873,455.5318
99,206.3401,455.5485
100,-105.7674,455.5217
101,140.299,455.5538
102,-15.65664,455.5445
103,288.9038,455.5331
104,-992.5071,455.5388
105,-822.4053,455.5556
106,87.31496,455.5391
107,-317.7692,455.5356
108,16.11689,455.5568
109,-153.4336,455.5472
110,-246.3844,455.5508
111,-258.2426,455.5499
112,-341.2108,454.653
113,-129.7994,455.5184
114,-167.2902,455.5216
115,-749.014,455.5301
116,-114.6197,455.5438
117,-491.069,455.5369
118,358.6642,455.541
119,244.4766,455.5342
120,15.21397,455.5429
121,12.14768,455.5092
122,63.97474,455.5514
123,38.49652,455.5176
124,-154.2491,455.5342
125,-155.4228,455.5499
126,-416.8428,455.5507
127,75.03419,455.5558
128,354.9323,455.6063
129,312.0161,455.5616
130,-4.866336,455.6006
131,-309.5146,455.5879
132,56.43621,455.5712
133,317.4119,455.5656
134,204.097,455.6021
135,7.351665,455.5888
136,319.0547,455.5878
137,93.10838,455.5587
138,31.72543,455.5715
139,-179.6653,455.5733
140,-289.0576,455.5787
141,87.1572,455.6013
142,228.8064,455.58
143,-487.571,455.5848
144,75.86736,455.579
145,-350.3415,455.5859
146,-50.31646,455.5847
147,190.2039,455.589
148,171.0318,455.5621
149,-198.9025,455.5939
150,341.323,455.6188
151,-45.05306,455.5866
152,32.43506,455.59
153,214.6762,455.5701
154,118.3901,455.584
155,42.5188,455.5922
156,-331.8909,455.5925
157,-44.69202,455.59
158,-597.4103,455.586
159,-820.4354,455.582
160,-381.2919,455.5964
161,-67.3951,455.5793
162,-187.6255,455.5529
163,-369.2773,455.5898
164,164.2939,455.5838
165,276.085,455.5974
166,-557.6846,455.5933
167,-825.5905,455.5995
168,-44.85637,455.5995
169,46.99926,455.5847
170,-561.1479,455.6001
171,175.5701,455.5907
172,25.72628,455.5818
173,-88.34006,455.5794
174,-678.3484,455.5809
175,159.3606,455.6021
176,-37.11794,455.5857
177,-87.63857,455.5886
178,-56.40253,455.5619
179,165.3473,455.5798
180,222.292,455.596
181,11.33869,455.5701
182,-41.42518,455.5789
183,5.930704,455.6054
184,130.7147,455.5818
185,79.36436,455.5823
186,-364.3648,455.5893
187,-118.2712,455.547
188,-306.6802,455.5842
189,30.40432,455.5925
190,156.1843,455.582
191,-96.79904,455.5822
192,38.81859,455.5972
193,83.24471,455.586
194,100.9426,455.5998
195,-548.4034,455.5793
196,-120.5584,455.5771
197,-133.5919,455.578
198,57.38334,455.6027
199,-6.021575,455.602
200,25.69467,455.6107
201,82.83842,455.5992
202,144.9498,455.575
203,218.8454,455.5977
204,91.19434,455.6041
205,-184.4973,455.6349
206,2.189957,455.63
207,244.5471,455.6484
208,202.6113,455.6248
209,-3.12561,455.6568
210,207.922,455.623
211,33.55508,455.6452
212,4.443767,455.6422
213,-2.92634,455.6377
214,-120.7986,455.6379
215,-132.9235,455.6263
216,64.41739,455.6393
217,-83.70182,455.6343
218,-108.1154,455.6016
219,-91.80275,455.6459
220,-218.2865,455.671
221,42.44985,455.624
222,-416.8223,455.6685
223,-104.5272,455.6381
224,109.9183,455.6362
225,-13.26955,455.6586
226,-357.3984,455.6509
227,-133.1247,455.6328
228,-129.789,455.6352
229,-464.0223,455.6486
230,-573.51,455.6747
231,-7.678438,455.643
232,-326.2962,455.6522
233,-377.1336,455.6362
234,29.81405,455.6384
235,-148.5833,455.6396
236,248.7767,455.5128
237,212.1563,455.5641
238,-197.108,455.5746
239,-706.7531,455.5623
240,370.8037,455.5524
241,168.3456,455.5609
242,-117.7586,455.5672
243,-87.29759,455.5634
244,-137.9054,455.5693
245,-26.77944,455.5419
246,-840.7473,455.5571
247,-167.2113,455.5404
248,198.4679,455.5554
249,-84.93825,455.5632
250,139.2209,455.5504
251,301.8481,455.5623
252,-42.941,455.565
253,62.4347,455.5897
254,-158.756,455.5809
255,63.65067,455.5537
256,-264.1772,455.5802
257,26.89295,455.565
258,-81.64474,455.566
259,259.983,455.5586
260,44.15619,455.5718
261,260.0863,455.5532
262,98.91202,455.5594
263,209.5218,455.563
264,-202.3314,455.5711
265,-644.3514,455.5705
266,39.88038,455.5801
267,-227.9113,455.5564
268,81.9376,455.5941
269,-571.977,455.5602
270,148.2744,455.5599
271,130.3184,455.591
272,182.9117,455.5479
273,-418.3734,455.5491
274,141.6754,455.5658
275,-121.9365,455.5907
276,131.0174,455.535
277,112.3892,455.5399
278,-166.9411,455.5138
279,-245.1912,455.5075
280,112.0663,455.5396
281,-871.2635,455.5304
282,-184.5708,455.5295
283,-238.5701,455.5256
284,-277.2472,455.5218
285,-69.50853,454.6508
286,194.0545,455.5204
287,-131.3376,455.5237
288,-240.1281,455.5616
289,-225.2493,455.5532
290,-761.6213,455.5472
291,-106.3158,455.5509
292,-488.3055,455.5624
293,-5.164691,455.5707
294,-113.5246,455.5643
295,-171.5261,455.5733
296,79.2942,455.5858
297,225.0448,455.6065
298,-154.2553,455.6114
299,-506.9442,455.6053
300,-129.8118,455.5892
301,-389.0146,455.5651
302,-264.7039,455.5991
303,-131.2934,455.5936
304,190.2391,455.6235
305,-63.56636,455.6266
306,-182.3411,455.6111
307,-363.999,455.5856
308,-302.692,455.6052
309,5.587318,455.5914
310,-280.477,455.6203
311,-374.5486,455.6094
312,-669.5331,455.6146
313,-90.96724,455.6611
314,-85.5948,455.5684
315,-416.235,455.6636
316,79.06293,455.6938
317,108.4581,455.7065
