GenerationNum,AverageFitness,HighestFitness
1,-101.4414,141.8474
2,-19.64236,673.5466
3,26.90921,586.0266
4,-49.06197,150.1609
5,-14.27869,324.5345
6,10.39933,327.8663
7,43.67754,248.041
8,-64.45879,201.9906
9,-46.41434,94.73966
10,-18.69496,264.7937
11,-7.759974,228.6937
12,-25.88299,219.6351
13,28.38551,231.5542
14,-31.29005,224.4733
15,24.98897,650.2401
16,43.24127,501.714
17,1.57296,456.3568
18,16.18762,433.7056
19,-12.6245,217.7217
20,47.26921,497.1329
21,63.32842,612.0033
22,74.30098,367.1591
23,-166.747,567.4924
24,-17.12132,361.0847
25,80.42732,492.0295
26,19.09277,505.0695
27,17.52478,541.8316
28,141.7078,471.3984
29,122.7007,457.6791
30,-475.4666,433.857
31,-428.3621,416.8181
32,189.0327,465.3036
33,220.8028,430.2419
34,177.2863,757.9604
35,218.2255,560.7502
36,187.6779,454.2466
37,134.0071,459.0314
38,196.8763,459.4295
39,154.0227,469.5998
40,219.4465,421.6886
41,178.6698,404.2563
42,185.8384,433.8358
43,192.4681,1231.139
44,159.3194,928.2385
45,343.5476,1344.322
46,178.9349,1286.077
47,458.3936,1290.963
48,493.7647,1333.475
49,680.4393,1312.803
50,227.0923,1275.657
51,427.303,1210.851
52,531.2147,1357.231
53,615.6281,1293.44
54,497.0099,1297.731
55,590.4471,1267.771
56,383.9464,1321.524
57,556.1575,1316.517
58,587.0736,1316.285
59,570.0994,1270.196
60,622.775,1408.91
61,626.9395,1308.457
62,543.7769,1438.713
63,377.8687,1261.98
64,508.3783,1369.725
65,533.9083,1346.878
66,616.8063,1266.292
67,421.2331,1336.165
68,382.1179,1276.055
69,445.0394,1387.1
70,522.5035,1316.687
71,402.3121,967.1099
72,349.7984,1311.846
73,303.1301,1315.387
74,397.3537,1337.052
75,282.8786,1323.744
76,440.5722,1355.108
77,506.836,1287.839
78,568.0388,1286.381
79,597.0289,1334.433
80,552.037,1382.999
81,571.1238,1359.898
82,479.6726,1409.916
83,42.14507,1358.067
84,448.6734,1330.94
85,519.9221,1432.212
86,621.9514,1289.676
87,404.6194,1285.216
88,422.2214,1257.054
89,542.9415,1266.639
90,451.9469,1262.922
91,470.0998,1287.65
92,575.2609,1286.858
93,544.5245,1203.654
94,660.2448,1291.467
95,621.6567,1261.593
96,211.2827,1276.432
97,582.6783,1250.517
98,404.0312,1315.655
99,458.8868,1364.377
100,490.2276,1375.544
101,531.5711,1224.291
102,583.8893,1306.616
103,506.8895,1326.484
104,717.1852,1247.406
105,588.9055,1244.953
106,567.0773,1297.897
107,546.1713,1255.575
108,611.8209,1409.591
109,703.2126,1256.973
110,496.059,1253.476
111,559.2707,1289.851
112,672.8586,1391.53
113,525.0762,1386.486
114,518.4648,1491.228
115,568.4704,1416.376
116,636.4904,1398.136
117,704.7985,1633.525
118,395.3154,1825.197
119,433.8697,1412.953
120,668.4638,1596.67
121,845.3322,1540.29
122,566.0905,1467.182
123,623.149,1385.047
124,724.0812,1405.936
125,563.2157,1435.552
126,523.5444,1368.781
127,617.6146,1379.542
128,387.3274,1326.559
129,242.5007,1063.602
130,460.5627,1272.68
131,394.0595,1500.252
132,621.7775,1324.374
133,606.9832,1484.941
134,582.3392,1334.004
135,749.4731,1329.259
136,615.9086,1301.453
137,750.5641,1356.816
138,562.4993,1300.942
139,402.6533,1310.106
140,667.1813,1296.314
141,526.4607,1278.134
142,499.2287,1313.451
143,334.4856,1308.138
144,490.9792,1296.061
145,575.3575,1263.083
146,577.486,1263.724
147,412.6353,1248.439
148,570.6444,1291.27
149,445.9927,1288.709
150,421.0614,1272.635
151,484.0652,1284.036
152,534.6003,1257.608
153,204.0055,1289.346
154,461.9963,1326.004
155,536.7066,1304.838
156,509.1821,1327.589
157,625.9485,1326.325
158,404.0683,1257.881
159,748.8551,1371.547
160,577.4984,1695.045
161,542.4097,1358.776
162,442.5193,1314.409
163,705.5687,1363.943
164,366.122,1305.483
165,533.6698,1351.375
166,361.441,1436.218
167,420.8602,1401.827
168,386.7531,1271.707
169,556.3097,1419.183
170,829.0515,1308.079
171,819.1077,1321.037
172,504.7713,1268.63
173,510.294,1300.34
174,644.217,1270.36
175,668.568,1350.853
176,519.2706,1833.302
177,472.1081,1339.14
178,82.9115,1351.099
179,567.5383,1430.696
180,643.5782,1323.095
181,478.4437,1229.671
182,917.4335,1413.48
183,812.9506,1273.292
184,452.5967,1251.716
185,511.7987,1121.747
186,717.7148,1273.229
187,626.4001,1244.868
188,515.1268,1282.205
189,638.2831,1283.019
190,718.3083,1312.959
191,559.146,1319.999
192,505.5512,1233.587
193,869.4777,1345.659
194,734.8582,1297.761
195,880.2765,1369.302
196,919.3921,1354.507
197,835.3423,1302.414
198,678.2186,1329.518
